francais	1	01 42 61 23 40	7 rue gomboust	1	les cartes postales	4.0	place vendome
brasseries	2	01 42 61 34 91	202 rue saint-honore	1	cafe palais royal	2.5	palais royal musee du louvre
thai	3	01 42 86 04 24	40 place du marche saint-honore	1	mme shawn	2.5	place vendome
francais	3	01 43 54 10 12	24 place dauphine	1	la rose de france	3.5	1er
japonais	2	01 42 97 44 48	41 rue des petits champs	1	sushi gan	4.0	2eme
libanais	2	01 47 03 33 15	41 rue de richelieu	1	damouri traiteur	4.0	palais royal musee du louvre
bars  brasseries  cuisines de l'amerique latine	2	01 42 60 27 66	164 rue st honore	1	coup d'etat	3.5	palais royal musee du louvre
fast food	1	01 49 26 96 96	4 rue de l'echelle	1	aux pains perdus	3.5	palais royal musee du louvre
libanais  marocain	1	####	17 rue jean-jacques rousseau	1	chez katy	3.5	palais royal musee du louvre
cuisine orientale  kebabs	3	01 40 41 08 08	14 rue sauval	1	le sanctuaire de baal	4.0	chatelet les halles
alsacien	2	09 67 32 50 43	62 rue des lombards	1	flam's	3.0	chatelet les halles
francais  cafes  brasseries  petit dejeuner & brunch	2	01 42 33 79 27	1 place du chatelet	1	cafe bords de seine	3.5	chatelet les halles
italien	3	01 42 60 90 29	21 rue st roch	1	crudus	3.5	palais royal musee du louvre
brasseries	2	01 44 76 07 33	40 rue saint honore	1	le moliere	3.5	chatelet les halles
